id,time,y,x1,x2
1,1,1.0249364,1.341614,-0.0881811
1,2,0.46709569,0.34464179,-0.4681918
1,3,0.81651492,0.57267749,-0.4201983
1,4,2.2287798,2.9546209,0.4950155
1,5,-0.40261065,-0.55555781,-0.8891262
1,6,0.67421616,-0.8491741,0.0517095
2,1,-0.20534181,0.24398688,-0.3977132
2,2,0.18020383,1.4236047,-1.220051
2,3,1.8348619,1.2379454,0.9159845
2,4,-0.99758178,0.58405255,-1.79239
2,5,-0.44539694,0.86828917,-1.036859
2,6,2.2311461,2.3624852,0.435641
3,1,-0.30889157,0.11521984,-0.3690702
3,2,-0.30903962,1.1351457,-1.772806
3,3,-0.91347833,-0.89439633,-1.346362
3,4,2.2360905,-0.28609576,2.40972
3,5,0.62956989,0.26711274,0.1637909
3,6,1.3281984,-0.02750471,1.349041
4,1,1.1284833,1.8712261,-0.015142
4,2,-0.03838328,0.68368323,0.1620657
4,3,0.72781312,0.30264036,0.5087379
4,4,1.6421111,2.0506994,0.623616
4,5,-0.15745914,-0.56420278,0.6058159
4,6,1.482452,2.2488422,0.129708
5,1,-0.86350076,1.1523017,-2.183608
5,2,0.87169825,0.73571632,0.992546
5,3,1.109081,-0.05102131,2.255498
5,4,0.27219101,0.71159449,0.3074408
5,5,-3.7622194,1.305809,-1.267499
5,6,-0.38532281,0.61095515,-1.37292
6,1,1.160593,1.7517324,0.1398185
6,2,0.42908912,1.1774897,-1.145939
6,3,1.4942339,0.91885485,1.329653
6,4,0.48458249,1.6188541,-0.6265793
6,5,-0.45575459,-0.79853134,-0.4910391
6,6,-0.54899019,-0.70072405,-1.120996
7,1,0.74006998,0.39107633,0.6825213
7,2,1.4635177,2.8847845,-0.5515411
7,3,0.44005706,1.6570531,-0.4963
7,4,2.5004303,3.6625812,-0.5968087
7,5,-0.07607264,-0.35453459,-1.264969
7,6,1.4452657,-0.31067213,0.7248328
8,1,-0.21134835,-0.63214311,0.3128702
8,2,0.63146224,1.1075568,0.4317679
8,3,0.29185558,0.17507378,0.3366513
8,4,-0.86598642,0.45882183,-1.331893
8,5,0.12165947,-0.32295713,0.6588475
8,6,-0.98374489,-1.4437141,0.6636003
9,1,-0.91121119,-0.49215128,-0.8159265
9,2,1.0343498,1.3366011,0.0308284
9,3,-0.37744532,0.09136061,0.3692436
9,4,-0.07626926,0.84907708,0.5802045
9,5,0.66723786,1.2081141,0.1137559
9,6,-0.42477024,2.269812,-1.639658
10,1,-0.31112004,0.91406264,-0.4553364
10,2,0.461494,0.82893517,-0.0238818
10,3,1.0620625,0.09162414,0.7603948
10,4,1.0111556,0.24048055,1.603486
10,5,0.42793328,0.31120107,0.9029536
10,6,-1.9796269,1.3340553,-2.547566
11,1,1.7764233,1.6486928,0.9723484
11,2,0.33665162,-0.45768174,-0.1492702
11,3,-0.04255561,-0.83230409,-0.3467212
11,4,2.8420756,0.79565266,1.918918
11,5,0.18880704,0.00164953,-0.6760828
11,6,1.2049923,1.4694168,0.0044627
12,1,-0.89632478,-0.5380733,-0.5313578
12,2,2.783304,2.9956605,1.707263
12,3,0.84284552,1.2091401,-0.4282166
12,4,-1.0638381,-1.5241568,-0.3683008
12,5,1.1268657,1.3464856,-0.4058082
12,6,1.1641065,1.1782503,1.450706
13,1,-0.0641909,0.0710275,-1.632928
13,2,0.80646244,1.879418,-0.8407528
13,3,0.14453566,-0.25241437,-0.3715407
13,4,0.75691786,0.18082479,0.4642173
13,5,3.2758319,2.1742487,1.627634
13,6,-0.20790819,0.55841888,-1.524371
14,1,-0.83478336,-0.48945074,-0.1370144
14,2,1.1758479,1.4632657,0.7477261
14,3,0.52719191,0.95788265,0.1374295
14,4,0.20600271,0.75469441,0.4973314
14,5,-0.02360058,-0.07202988,0.433863
14,6,1.3432528,2.3863509,-0.3112601
15,1,0.51865045,1.2523613,-0.75865
15,2,2.7243436,0.93328461,1.557485
15,3,0.91190649,-0.0297339,1.151921
15,4,-0.20965622,0.11378729,-1.476297
15,5,1.4747914,3.6372253,-1.524534
15,6,0.09104943,0.33295499,-0.9825116
16,1,0.21015972,0.41608692,0.2497059
16,2,0.56669885,0.51606746,-0.0671068
16,3,-0.62211246,-0.09559603,-1.351545
16,4,0.50242261,0.61050628,-0.5250679
16,5,-1.0640584,0.36292475,-0.8808624
16,6,-0.99524129,-0.40666397,-0.4489612
17,1,-0.02287058,-2.282428,0.8727986
17,2,3.5853198,3.7911644,1.641546
17,3,0.02415526,1.2725032,-0.9137602
17,4,-0.04515478,1.1472739,-1.435902
17,5,0.72010818,1.2395317,-0.2964564
17,6,0.20393955,-0.26701923,0.6571046
18,1,1.4399111,1.7546261,-0.69646
18,2,2.1333963,0.86469561,0.0660632
18,3,0.73674899,-0.47836049,0.743212
18,4,2.1902092,2.0662709,0.415759
18,5,-0.30329166,-0.89397212,-1.316013
18,6,1.8269488,0.56558461,0.4913994
19,1,1.2370957,2.3601536,0.5916779
19,2,0.48329571,2.4561211,-1.487319
19,3,-0.68119149,-1.212043,0.3637657
19,4,0.8836385,0.20764071,0.8466927
19,5,2.0779282,1.6578467,1.532905
19,6,-0.27948903,1.0697736,-1.292037
20,1,0.70159481,-0.16349229,1.499349
20,2,0.38802555,0.59513018,-0.1264871
20,3,-0.0501452,0.21249556,-1.188701
