farmid,ly,lland,llabor,lfeed,lcattle,comp,_cons
1,13.399908,5.9135032,8.1167154,11.813288,3.7381456,5.530173230636033,1.0
2,12.754598,5.749393,8.3770113,11.239344,3.1851122,8.719506196538735,1.0
3,13.294759,5.5683446,8.6399412,12.470854,3.4563167,7.31078132533138,1.0
4,12.933064,5.5174527,8.5137873,11.94743,3.2737427,9.752371923657009,1.0
5,12.886527,5.521461,8.2453842,11.719795,3.2331731,5.542455969126284,1.0
6,12.324403,5.220356,8.0391569,10.766078,2.7040422,5.41517105172579,1.0
7,12.649474,5.5333896,8.507143,11.730061,3.2108436,5.438189324595115,1.0
8,12.931967,5.4638319,8.2414398,11.818336,3.2492111,7.017874519308741,1.0
9,12.766776,5.5759492,7.9979992,11.524196,2.9922261,5.51656740308377,1.0
10,12.015332,5.209486,7.6857033,11.706073,2.9301264,5.264486128968024,1.0
11,12.680833,5.2040067,8.3072128,11.876149,3.0629234,6.589094992659261,1.0
12,12.787335,5.2626901,7.8887095,11.812104,3.0150447,5.951531392669015,1.0
13,12.466434,5.1357985,8.4006596,11.140209,2.8088002,6.536196472327763,1.0
14,12.369039,5.2470241,8.1820002,11.305101,2.9069011,11.85783064768503,1.0
15,12.720016,5.5872488,7.8842001,11.673467,2.8859174,6.058924830111684,1.0
16,13.01148,5.768321,8.225503,12.005334,3.4610374,5.692174862797612,1.0
17,12.987742,5.7137327,8.043663,12.110678,3.4666729,8.673797305293105,1.0
18,13.113336,5.7745514,8.1435175,11.884749,3.3998632,5.422545841115645,1.0
19,12.899899,5.32301,8.2361555,12.170778,3.2872818,5.673554445764514,1.0
20,12.12214,4.8040209,7.6033993,11.025459,2.4664032,6.820606802704029,1.0
21,13.447002,5.7430034,8.3282099,12.449031,3.6312504,6.681174319099512,1.0
22,13.323874,5.7397928,8.2710371,12.437518,3.6663783,7.690239414966298,1.0
23,12.432253,5.0039463,7.8272409,11.314157,2.9528248,7.828374777943649,1.0
24,12.365468,5.4293456,8.0928507,11.800696,2.766319,5.124370774061162,1.0
25,12.667958,4.6347289,8.4510536,11.964457,2.946542,8.008947152931057,1.0
26,12.282228,4.7095304,7.9409399,11.665256,2.7120423,6.682879059409105,1.0
27,12.245166,5.3033047,7.8674884,11.398692,2.9851768,4.934924422596403,1.0
28,12.362041,4.7874918,7.9895606,11.045311,2.6532419,6.485443978249299,1.0
29,11.898289,4.2484951,7.8264432,11.145182,2.1644719,6.905086666921077,1.0
30,12.426455,5.2781148,8.1104269,11.4215,2.904165,12.01264053571668,1.0
31,12.464996,5.0814042,8.441823,11.171895,2.7265449,7.063417799680952,1.0
32,13.08533,5.8289456,8.3428402,12.291197,3.3714252,9.001588004326829,1.0
33,12.32509,4.4426513,8.0724678,10.75427,2.6326079,6.577516286963231,1.0
34,12.487415,5.2781148,8.1867428,11.676608,2.839663,9.1378087084404,1.0
35,12.512529,5.3936276,8.3012733,10.928432,2.7536607,5.33581398642327,1.0
36,12.120147,4.7874918,8.093462,11.534849,2.7127061,4.903070574590962,1.0
37,11.717625,4.5538769,7.7740149,10.463291,2.3813963,6.328291458966094,1.0
38,12.903731,5.7525725,7.9330797,11.849302,3.3325615,5.997450951092025,1.0
39,12.180574,5.1817837,8.154788,11.160959,2.4527278,6.050889958249522,1.0
40,12.481194,5.2983174,8.2043982,11.450166,2.8842418,8.699377181096686,1.0
41,13.211012,5.220356,8.1040993,12.134658,3.4934726,6.764015033360582,1.0
42,12.449099,4.9767337,7.7358704,11.032587,2.796061,6.72380243773632,1.0
43,12.992297,5.3423343,8.4894104,11.733356,3.0887671,6.55277114750886,1.0
44,12.605131,4.9052749,8.1256313,11.40978,2.8791986,6.380675204473905,1.0
45,12.243661,5.3659759,7.9710855,11.527811,2.9806187,5.87521907095671,1.0
46,12.672194,5.4116459,8.0746489,11.568994,3.0717669,6.889998284366376,1.0
47,12.527283,5.0039463,8.1426449,11.659369,2.8808825,8.877779813183485,1.0
48,12.245436,4.6151204,7.8359747,11.280653,2.6041701,7.058031181403875,1.0
