firm,year,lk,llabor,lfuel,lny,trend,llabor2,lfuel2,lk2,labfue2,labk2,fuek2
1,86,.12284484,.29660398,.11459787,.25928308,1,.04398696,.00656634,.00754543,.03399018,.03643627,.01407776
1,87,.10871921,.45390094,.13149937,.3177908,2,.10301303,.00864604,.00590993,.05968769,.04934775,.01429651
1,88,.10419787,.41699797,.19935808,.37122791,3,.08694365,.01987182,.0054286,.08313192,.0434503,.02077269
1,89,.1053244,.40144964,.14545783,.39645626,4,.08058091,.01057899,.00554661,.05839399,.04228244,.01532026
1,90,.09484396,.48685965,.14265495,.46020119,5,.11851616,.01017522,.00449769,.06945294,.0461757,.01352996
1,91,.0773816,.4949323,.17905434,.46310973,6,.12247899,.01603023,.00299396,.08861977,.03829866,.01385551
1,92,.83195139,.30076199,.18509984,.44441989,7,.04522889,.01713097,.34607156,.05567099,.25021935,.15399407
1,93,.81243486,.29414994,.24195111,.50262785,8,.04326209,.02927017,.3300252,.0711699,.23897766,.19656952
1,94,.79700216,.25199622,.27414012,.5029042,9,.03175105,.0375764,.31760622,.06908227,.20084153,.21849027
1,95,.78007356,.25225247,.30958719,.56265672,10,.03181565,.04792212,.30425738,.07809413,.19677548,.24150078
1,96,.75334465,-.19400265,.25649475,.64654336,11,.01881851,.03289478,.28376408,-.04976066,-.14615086,.19322894
2,86,-2.460337,-1.8351634,-1.4140722,-2.727546,1,1.6839123,.99980014,3.026629,2.5950536,4.5151203,3.4790942
2,87,-2.4727294,-1.8126905,-1.2479793,-1.4812184,2,1.6429234,.7787262,3.0571953,2.2622003,4.4822931,3.0859152
2,88,-2.4923794,-1.5219828,-1.5006025,-2.4428549,3,1.1582158,1.1259039,3.1059776,2.2838911,3.7933585,3.7400707
2,89,-2.4987515,-1.6103683,-1.3315139,-1.478446,4,1.296643,.88646458,3.1218794,2.1442277,4.0239102,3.3271222
2,90,-2.4926335,-1.5495496,-1.636012,-1.7614251,5,1.200552,1.3382676,3.1066109,2.5350817,3.8624593,4.0779782
